product_id,category_id
1000,100
2,1
194,1
193,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
187,15
204,15
205,15
206,15
207,15
208,15
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,36
45,36
46,36
47,36
48,36
49,36
50,36
51,36
52,36
53,36
54,36
55,36
188,36
56,36
57,36
58,36
59,36
60,36
61,36
62,36
63,36
192,36
64,36
189,36
65,36
68,67
69,67
70,67
71,67
72,67
73,67
74,67
75,67
76,67
77,67
78,67
79,67
80,67
81,67
82,67
83,67
84,67
85,67
86,67
190,67
87,67
88,67
89,67
90,67
91,67
195,67
92,67
93,67
94,67
95,67
96,67
97,67
98,67
101,99
102,99
103,99
104,99
100,99
105,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
229,99
115,114
116,114
117,114
118,114
119,114
120,114
225,114
122,121
199,121
191,121
123,121
124,121
197,121
125,121
126,121
127,121
128,121
196,121
130,121
131,121
132,121
133,121
134,121
135,121
136,121
198,121
137,121
138,121
139,121
140,121
141,121
142,121
143,121
144,121
145,121
230,121
231,121
147,146
201,146
148,146
149,146
150,146
151,146
152,146
153,146
154,146
202,146
155,146
156,146
203,146
157,146
200,146
158,146
159,146
223,146
224,146
232,146
161,160
162,160
163,160
164,160
165,160
166,160
167,160
168,160
169,160
170,160
171,160
172,160
173,160
209,160
210,160
211,160
212,160
213,160
214,160
215,160
216,160
217,160
218,160
219,160
220,160
175,174
176,174
177,174
178,174
179,174
180,174
182,181
183,181
184,181
185,181
186,181
236,181
222,221
227,226
228,227
238,226
234,233
237,233

